Run, Step, AgentID, Energy-Level, Common-Pool-Levels
1,0,115,71.59564774176911,1990.0
1,0,145,53.62529951271235,1980.0
1,0,105,26.673825161111914,1970.0
1,0,111,94.30090713936298,1960.0
1,0,199,85.35377427154484,1950.0
1,0,131,65.2893511283064,1940.0
1,0,166,60.3137945978474,1930.0
1,0,118,19.75701287946579,1920.0
1,0,187,7.895451848785912,1910.0
1,0,106,89.6393449785824,1900.0
1,0,135,55.49059583868127,1890.0
1,0,196,9.594099679644149,1880.0
1,0,116,71.20207583900888,1870.0
1,0,186,84.93832801162927,1860.0
1,0,120,81.47300393204252,1850.0
1,0,129,10.508340823638857,1840.0
1,0,123,9.222822376944457,1830.0
1,0,126,50.7658829526312,1820.0
1,0,188,65.46392596487239,1810.0
1,0,146,65.38140406724423,1800.0
1,0,128,62.08515563708587,1790.0
1,0,162,88.65438809102397,1780.0
1,0,130,67.10603286929924,1770.0
1,0,158,87.81892833336828,1760.0
1,0,155,45.23829251044981,1750.0
1,0,175,45.58148633258182,1740.0
1,0,141,71.28638379135354,1730.0
1,0,191,61.98542170578516,1720.0
1,0,150,27.910566079254203,1710.0
1,0,159,70.19002804391188,1700.0
1,0,127,51.67688766808868,1690.0
1,0,119,8.187383688512968,1680.0
1,0,110,90.0119120459568,1670.0
1,0,156,22.384080966313153,1660.0
1,0,171,10.195786839363514,1650.0
1,0,122,34.105262354463804,1640.0
1,0,176,18.729132176220794,1630.0
1,0,194,34.24362665699315,1620.0
1,0,173,81.41493156968497,1610.0
1,0,132,63.5750362347639,1600.0
1,0,178,73.5601655278075,1590.0
1,0,195,58.28136070525405,1580.0
1,0,117,93.79236663680786,1570.0
1,0,184,61.801772972546296,1560.0
1,0,182,37.5100639035867,1550.0
1,0,168,95.11626446228898,1540.0
1,0,190,51.368461208544154,1530.0
1,0,174,59.57082794627964,1520.0
1,0,101,12.108211990556102,1510.0
1,0,192,63.65786975853824,1500.0
1,0,167,95.54436019614498,1490.0
1,0,193,93.96138290593323,1480.0
1,0,142,80.12232867374647,1470.0
1,0,133,40.37302739120025,1460.0
1,0,180,46.402240077143595,1450.0
1,0,189,82.29535555222687,1440.0
1,0,124,86.439870034457,1430.0
1,0,114,19.881056227470335,1420.0
1,0,164,101.60726434518382,1410.0
1,0,109,74.69045866261713,1400.0
1,0,185,92.4988670180742,1390.0
1,0,147,73.45166926104791,1380.0
1,0,170,99.20450226130734,1370.0
1,0,165,87.75048668213594,1360.0
1,0,121,66.60076101807039,1350.0
1,0,102,26.564116783254384,1340.0
1,0,157,103.86414240929417,1330.0
1,0,144,73.38931939585638,1320.0
1,0,153,35.98843828864737,1310.0
1,0,154,64.34311567911118,1300.0
1,0,161,90.95512246925341,1290.0
1,0,160,44.128365601611804,1280.0
1,0,107,85.03055187313971,1270.0
1,0,112,27.857862659221652,1260.0
1,0,197,87.24449287520437,1250.0
1,0,140,94.2767625987463,1240.0
1,0,103,60.85140154695565,1230.0
1,0,163,40.95967506625401,1220.0
1,0,100,96.89558594947925,1210.0
1,0,134,31.72559314240154,1200.0
1,0,137,47.31998700444469,1190.0
1,0,143,99.8028634165018,1180.0
1,0,198,84.79734515028953,1170.0
1,0,179,5.601713222312849,1160.0
1,0,138,78.17022820861787,1150.0
1,0,183,14.598298206464095,1140.0
1,0,136,102.05734327543544,1130.0
1,0,169,14.917372596668617,1120.0
1,0,148,99.97854720944972,1110.0
1,0,181,32.80430897582505,1100.0
1,0,125,44.20684333148241,1090.0
1,0,104,26.58721194810663,1080.0
1,0,172,37.46021823608688,1070.0
1,0,177,92.64155452823024,1060.0
1,0,108,25.72569584762395,1050.0
1,0,113,18.856142268003644,1040.0
1,0,151,55.92114230072183,1030.0
1,0,139,56.05387825689359,1020.0
1,0,152,33.263924809242404,1010.0
1,0,149,17.61553897397323,1000.0
1,1,185,97.4988670180742,1140.0
1,1,198,89.79734515028953,1130.0
1,1,134,36.725593142401536,1120.0
1,1,105,31.673825161111914,1110.0
1,1,125,49.20684333148241,1100.0
1,1,111,99.30090713936298,1090.0
1,1,196,14.594099679644149,1080.0
1,1,172,42.46021823608688,1070.0
1,1,194,39.24362665699315,1060.0
1,1,130,72.10603286929924,1050.0
1,1,151,60.92114230072183,1040.0
1,1,168,100.11626446228898,1030.0
1,1,146,70.38140406724423,1020.0
1,1,192,68.65786975853824,1010.0
1,1,121,71.60076101807039,1000.0
1,1,119,13.187383688512968,990.0
1,1,133,45.37302739120025,980.0
1,1,140,99.2767625987463,970.0
1,1,137,52.31998700444469,960.0
1,1,117,98.79236663680786,950.0
1,1,181,37.80430897582505,940.0
1,1,129,15.508340823638857,930.0
1,1,126,55.7658829526312,920.0
1,1,135,60.49059583868127,910.0
1,1,155,50.23829251044981,900.0
1,1,160,49.128365601611804,890.0
1,1,173,86.41493156968497,880.0
1,1,175,50.58148633258182,870.0
1,1,141,76.28638379135354,860.0
1,1,103,65.85140154695566,850.0
1,1,148,104.97854720944972,840.0
1,1,156,27.384080966313153,830.0
1,1,110,95.0119120459568,820.0
1,1,197,92.24449287520437,810.0
1,1,104,31.58721194810663,800.0
1,1,187,12.895451848785912,790.0
1,1,188,70.46392596487239,780.0
1,1,159,75.19002804391188,770.0
1,1,132,68.5750362347639,760.0
1,1,122,39.105262354463804,750.0
1,1,171,15.195786839363514,740.0
1,1,157,108.86414240929417,730.0
1,1,186,89.93832801162927,720.0
1,1,166,65.31379459784739,710.0
1,1,152,38.263924809242404,700.0
1,1,149,22.61553897397323,690.0
1,1,143,104.8028634165018,680.0
1,1,177,97.64155452823024,670.0
1,1,154,69.34311567911118,660.0
1,1,139,61.05387825689359,650.0
1,1,102,31.564116783254384,640.0
1,1,179,10.60171322231285,630.0
1,1,142,85.12232867374647,620.0
1,1,170,104.20450226130734,610.0
1,1,123,14.222822376944457,600.0
1,1,112,32.85786265922165,590.0
1,1,147,78.45166926104791,580.0
1,1,120,86.47300393204252,570.0
1,1,100,101.89558594947925,560.0
1,1,169,19.917372596668617,550.0
1,1,165,92.75048668213594,540.0
1,1,115,76.59564774176911,530.0
1,1,108,30.72569584762395,520.0
1,1,176,23.729132176220794,510.0
1,1,158,92.81892833336828,500.0
1,1,199,90.35377427154484,490.0
1,1,191,66.98542170578516,480.0
1,1,138,83.17022820861787,470.0
1,1,189,87.29535555222687,460.0
1,1,109,79.69045866261713,450.0
1,1,161,95.95512246925341,440.0
1,1,131,70.2893511283064,430.0
1,1,144,78.38931939585638,420.0
1,1,178,78.5601655278075,410.0
1,1,162,93.65438809102397,400.0
1,1,174,64.57082794627965,390.0
1,1,114,24.881056227470335,380.0
1,1,127,56.67688766808868,370.0
1,1,136,107.05734327543544,360.0
1,1,113,23.856142268003644,350.0
1,1,150,32.9105660792542,340.0
1,1,167,100.54436019614498,330.0
1,1,124,91.439870034457,320.0
1,1,101,17.1082119905561,310.0
1,1,163,45.95967506625401,300.0
1,1,183,19.598298206464094,290.0
1,1,118,24.75701287946579,280.0
1,1,180,51.402240077143595,270.0
1,1,145,58.62529951271235,260.0
1,1,184,66.8017729725463,250.0
1,1,190,56.368461208544154,240.0
1,1,164,106.60726434518382,230.0
1,1,116,76.20207583900888,220.0
1,1,106,94.6393449785824,210.0
1,1,182,42.5100639035867,200.0
1,1,195,63.28136070525405,190.0
1,1,107,90.03055187313971,180.0
1,1,153,40.98843828864737,170.0
1,1,193,98.96138290593323,160.0
1,1,128,67.08515563708588,150.0
1,2,169,24.917372596668617,181.625
1,2,164,111.60726434518382,171.625
1,2,171,20.195786839363514,161.625
1,2,111,104.30090713936298,151.625
1,2,106,99.6393449785824,141.625
1,2,110,100.0119120459568,131.625
1,2,144,83.38931939585638,121.625
1,2,117,103.79236663680786,111.625
1,2,103,70.85140154695566,101.625
1,2,159,80.19002804391188,91.625
1,2,126,60.7658829526312,81.625
1,2,112,37.85786265922165,71.625
1,2,157,113.86414240929417,61.625
1,2,189,92.29535555222687,51.625
1,2,134,41.725593142401536,41.625
1,2,162,98.65438809102397,31.625
1,2,152,43.263924809242404,21.625
1,2,116,81.20207583900888,11.625
1,2,182,47.5100639035867,1.625
1,2,188,65.46392596487239,1.625
1,2,173,81.41493156968497,1.625
1,2,123,9.222822376944457,1.625
1,2,156,22.384080966313153,1.625
1,2,150,27.910566079254203,1.625
1,2,194,34.24362665699315,1.625
1,2,199,85.35377427154484,1.625
1,2,166,60.31379459784739,1.625
1,2,130,67.10603286929924,1.625
1,2,108,25.72569584762395,1.625
1,2,196,9.594099679644149,1.625
1,2,119,8.187383688512968,1.625
1,2,129,10.508340823638857,1.625
1,2,176,18.729132176220794,1.625
1,2,100,96.89558594947925,1.625
1,2,186,84.93832801162927,1.625
1,2,163,40.95967506625401,1.625
1,2,175,45.58148633258182,1.625
1,2,107,85.03055187313971,1.625
1,2,161,90.95512246925341,1.625
1,2,160,44.128365601611804,1.625
1,2,165,87.75048668213594,1.625
1,2,149,17.61553897397323,1.625
1,2,178,73.5601655278075,1.625
1,2,198,84.79734515028953,1.625
1,2,170,99.20450226130734,1.625
1,2,172,37.46021823608688,1.625
1,2,183,14.598298206464094,1.625
1,2,120,81.47300393204252,1.625
1,2,131,65.2893511283064,1.625
1,2,191,61.98542170578516,1.625
1,2,115,71.59564774176911,1.625
1,2,101,12.1082119905561,1.625
1,2,168,95.11626446228898,1.625
1,2,174,59.57082794627965,1.625
1,2,102,26.564116783254384,1.625
1,2,147,73.45166926104791,1.625
1,2,148,99.97854720944972,1.625
1,2,122,34.105262354463804,1.625
1,2,184,61.8017729725463,1.625
1,2,187,7.895451848785912,1.625
1,2,121,66.60076101807039,1.625
1,2,180,46.402240077143595,1.625
1,2,158,87.81892833336828,1.625
1,2,135,55.49059583868127,1.625
1,2,167,95.54436019614498,1.625
1,2,197,87.24449287520437,1.625
1,2,155,45.23829251044981,1.625
1,2,136,102.05734327543544,1.625
1,2,139,56.05387825689359,1.625
1,2,128,62.085155637085876,1.625
1,2,195,58.28136070525405,1.625
1,2,141,71.28638379135354,1.625
1,2,137,47.31998700444469,1.625
1,2,124,86.439870034457,1.625
1,2,133,40.37302739120025,1.625
1,2,193,93.96138290593323,1.625
1,2,190,51.368461208544154,1.625
1,2,138,78.17022820861787,1.625
1,2,114,19.881056227470335,1.625
1,2,143,99.8028634165018,1.625
1,2,181,32.80430897582505,1.625
1,2,118,19.75701287946579,1.625
1,2,140,94.2767625987463,1.625
1,2,105,26.673825161111914,1.625
1,2,125,44.20684333148241,1.625
1,2,127,51.67688766808868,1.625
1,2,145,53.62529951271235,1.625
1,2,104,26.58721194810663,1.625
1,2,146,65.38140406724423,1.625
1,2,151,55.92114230072183,1.625
1,2,192,63.65786975853824,1.625
1,2,153,35.98843828864737,1.625
1,2,109,74.69045866261713,1.625
1,2,113,18.856142268003644,1.625
1,2,177,92.64155452823024,1.625
1,2,179,5.601713222312849,1.625
1,2,185,92.4988670180742,1.625
1,2,142,80.12232867374647,1.625
1,2,132,63.5750362347639,1.625
1,2,154,64.34311567911118,1.625
1,3,106,94.6393449785824,2.1121039062499998
1,3,169,19.917372596668617,2.1121039062499998
1,3,182,42.5100639035867,2.1121039062499998
1,3,186,79.93832801162927,2.1121039062499998
1,3,131,60.28935112830639,2.1121039062499998
1,3,166,55.31379459784739,2.1121039062499998
1,3,180,41.402240077143595,2.1121039062499998
1,3,170,94.20450226130734,2.1121039062499998
1,3,105,21.673825161111914,2.1121039062499998
1,3,109,69.69045866261713,2.1121039062499998
1,3,157,108.86414240929417,2.1121039062499998
1,3,148,94.97854720944972,2.1121039062499998
1,3,177,87.64155452823024,2.1121039062499998
1,3,155,40.23829251044981,2.1121039062499998
1,3,151,50.92114230072183,2.1121039062499998
1,3,156,17.384080966313153,2.1121039062499998
1,3,137,42.31998700444469,2.1121039062499998
1,3,178,68.5601655278075,2.1121039062499998
1,3,188,60.46392596487239,2.1121039062499998
