Run,Step,AgentID,Energy-Level,extNeighbor_energy,extNeighbor_consumption,Common-Pool-Levels,agent0_consumptionTarget,agent0_delta_i,agent0_delta_e,agent0_delta_o,agent0_agreement
0,0,24,34.59933126362368,0.0,0.0,999.0,1.0,0.0,0.0,0.0,0.9161515179930049
0,0,8,71.82565431158218,0.0,0.0,998.0,1.0,0.0,0.0,0.0,0.7614005915533769
0,0,10,64.3055797977031,0.0,0.0,997.0,1.0,0.0,0.0,0.0,0.916448311671415
0,0,86,37.89163162633084,0.0,0.0,996.0,1.0,0.0,0.0,0.0,0.675464281724266
0,0,51,52.24256071765384,0.0,0.0,995.0,1.0,0.0,0.0,0.0,0.7136871056243327
0,0,96,49.0266959733624,0.0,0.0,994.0,1.0,0.0,0.0,0.0,0.7587309848322151
0,0,4,59.99902690673618,0.0,0.0,993.0,1.0,0.0,0.0,0.0,0.7563202127310386
0,0,22,20.732987173804474,0.0,0.0,992.0,1.0,0.0,0.0,0.0,0.738506258934942
0,0,73,90.0,0.0,0.0,991.0,1.0,0.0,0.0,0.0,0.8221016249743505
0,0,52,24.62499256544624,0.0,0.0,990.0,1.0,0.0,0.0,0.0,0.8149344837005174
0,0,25,70.5378054746927,0.0,0.0,989.0,1.0,0.0,0.0,0.0,0.7785341361101974
0,0,21,47.776076403537,0.0,0.0,988.0,1.0,0.0,0.0,0.0,0.7435044610896909
0,0,75,52.253880351880156,0.0,0.0,987.0,1.0,0.0,0.0,0.0,0.6613122285980988
0,0,85,90.0,0.0,0.0,986.0,1.0,0.0,0.0,0.0,0.7721063500368142
0,0,16,19.430531167971314,0.0,0.0,985.0,1.0,0.0,0.0,0.0,0.7659935848136168
0,0,84,40.79105908702958,0.0,0.0,984.0,1.0,0.0,0.0,0.0,0.7335484759406427
0,0,74,37.26653225310048,0.0,0.0,983.0,1.0,0.0,0.0,0.0,0.8260431869095188
0,0,35,41.72815713614555,0.0,0.0,982.0,1.0,0.0,0.0,0.0,0.5137829112945008
0,0,19,43.19069892889579,0.0,0.0,981.0,1.0,0.0,0.0,0.0,0.7776254112097185
0,0,93,72.01471658922574,0.0,0.0,980.0,1.0,0.0,0.0,0.0,0.9537747625429659
0,0,70,53.55509821907947,0.0,0.0,979.0,1.0,0.0,0.0,0.0,0.8563746764539932
0,0,95,38.35138308564902,0.0,0.0,978.0,1.0,0.0,0.0,0.0,0.6669638853927522
0,0,49,33.58288626846735,0.0,0.0,977.0,1.0,0.0,0.0,0.0,0.6196051176134582
0,0,14,51.58372037446012,0.0,0.0,976.0,1.0,0.0,0.0,0.0,0.9439173860722528
0,0,44,76.32714609066423,0.0,0.0,975.0,1.0,0.0,0.0,0.0,0.6561731566307983
0,0,42,47.23471402997268,0.0,0.0,974.0,1.0,0.0,0.0,0.0,0.8120892673655665
0,0,1,37.764872286781774,0.0,0.0,973.0,1.0,0.0,0.0,0.0,0.9530431675200361
0,0,15,56.78569401909069,0.0,0.0,972.0,1.0,0.0,0.0,0.0,0.710958941607081
0,0,2,48.87466338688103,0.0,0.0,971.0,1.0,0.0,0.0,0.0,0.6979052707847265
0,0,83,27.545055440697155,0.0,0.0,970.0,1.0,0.0,0.0,0.0,0.8561641129164306
0,0,5,43.38259714267094,0.0,0.0,969.0,1.0,0.0,0.0,0.0,0.8051534327722871
0,0,34,35.05363697230832,0.0,0.0,968.0,1.0,0.0,0.0,0.0,0.7804793867892791
0,0,13,65.07532794401408,0.0,0.0,967.0,1.0,0.0,0.0,0.0,0.6609511686768342
0,0,57,45.98707609787021,0.0,0.0,966.0,1.0,0.0,0.0,0.0,0.7336184728933118
0,0,32,69.67406878366378,0.0,0.0,965.0,1.0,0.0,0.0,0.0,0.7063881944965972
0,0,88,90.0,0.0,0.0,964.0,1.0,0.0,0.0,0.0,0.7633605500400907
0,0,63,72.24122364490908,0.0,0.0,963.0,1.0,0.0,0.0,0.0,0.5
0,0,11,44.27854055884575,0.0,0.0,962.0,1.0,0.0,0.0,0.0,0.9686818390452749
0,0,79,51.38777213809394,0.0,0.0,961.0,1.0,0.0,0.0,0.0,0.5
0,0,36,80.42198322614065,0.0,0.0,960.0,1.0,0.0,0.0,0.0,0.8345516610528526
0,0,66,28.294271969981146,0.0,0.0,959.0,1.0,0.0,0.0,0.0,0.9269517910984861
0,0,38,43.53753289725874,0.0,0.0,958.0,1.0,0.0,0.0,0.0,0.8760882061426966
0,0,94,80.42366688177097,0.0,0.0,957.0,1.0,0.0,0.0,0.0,0.8429316554115802
0,0,54,28.380019132075788,0.0,0.0,956.0,1.0,0.0,0.0,0.0,0.5184736632720929
0,0,67,52.883845879700246,0.0,0.0,955.0,1.0,0.0,0.0,0.0,0.8910652641319043
0,0,55,47.96432065443496,0.0,0.0,954.0,1.0,0.0,0.0,0.0,0.547033611227526
0,0,47,76.11812722412944,0.0,0.0,953.0,1.0,0.0,0.0,0.0,0.6439988200862695
0,0,27,43.928932980912634,0.0,0.0,952.0,1.0,0.0,0.0,0.0,0.9107006741858003
0,0,3,58.730196001738136,0.0,0.0,951.0,1.0,0.0,0.0,0.0,0.9735785625436466
0,0,90,45.449521300318,0.0,0.0,950.0,1.0,0.0,0.0,0.0,0.7219391660283212
0,0,20,53.91730017980399,0.0,0.0,949.0,1.0,0.0,0.0,0.0,0.8604866347442413
0,0,28,83.38240078616765,0.0,0.0,948.0,1.0,0.0,0.0,0.0,0.8057915484877716
0,0,17,12.907439272565398,0.0,0.0,947.0,1.0,0.0,0.0,0.0,0.7845332415388724
0,0,76,38.84739096117172,0.0,0.0,946.0,1.0,0.0,0.0,0.0,0.8675376622181581
0,0,40,47.477271777273884,0.0,0.0,945.0,1.0,0.0,0.0,0.0,0.6740565361332267
0,0,72,36.408810343756656,0.0,0.0,944.0,1.0,0.0,0.0,0.0,0.7898181900202604
0,0,82,22.857057144901844,0.0,0.0,943.0,1.0,0.0,0.0,0.0,0.8550813018734709
0,0,23,50.516261807328796,0.0,0.0,942.0,1.0,0.0,0.0,0.0,0.8333735119222194
0,0,59,61.26435109223246,0.0,0.0,941.0,1.0,0.0,0.0,0.0,0.5413395591107171
0,0,37,63.48616124168068,0.0,0.0,940.0,1.0,0.0,0.0,0.0,0.7431920492572498
